osm_id,existing_maxspeed,highway,classification,mean_curvature,population,segment_length_km,cap_reason,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct,has_valid_rec
263321260,40,tertiary,Urban,0.002219482608,1503456,4.404639825,Urban - short/dense/curvy,,,,,,,,,,,False
48115044,30,tertiary,Rural,0.00428053295,19471,0.3915494371,Rural - short or curved,,,,,,,,,,,False
259915558,30,tertiary,Urban,0.0008151420779,2051899,0.3821708947,Urban - short/dense/curvy,,,,,,,,,,,False
109201331,30,tertiary,Urban,0.01612312525,366358,0.2934576959,Urban - short/dense/curvy,,,,,,,,,,,False
98123748,30,tertiary,Urban,0.002609337563,2051899,0.2388488987,Urban - short/dense/curvy,,,,,,,,,,,False
124339691,40,tertiary,Urban,0.009272359721,887399,4.872992495,Urban - short/dense/curvy,,,,,,,,,,,False
317104847,50,secondary,Urban,0.003609017715,600783,1.485280157,Urban - short/dense/curvy,,,,,,,,,,,False
34942238,60,secondary,Urban,0.00212622086,5243536,11.51572392,Urban - short/dense/curvy,,,,,,,,,,,False
148284280,40,tertiary,Urban,0.0001473342148,1503456,0.6032574206,Urban - short/dense/curvy,,,,,,,,,,,False
29177253,40,tertiary,Urban,0.001576747507,5243536,0.2669094863,Urban - short/dense/curvy,,,,,,,,,,,False
31656740,60,trunk,Urban,0.000863559579,728402,29.61094868,Urban - short/dense/curvy,,,,,,,,,,,False
4357068,30,tertiary,Urban,0.0002950874321,2960048,1.587693894,Urban - short/dense/curvy,,,,,,,,,,,False
532958223,40,tertiary,Urban,0.004209695268,2960048,0.3115067721,Urban - short/dense/curvy,,,,,,,,,,,False
151816018,30,tertiary,Urban,0.0002007480779,2960048,0.7475730014,Urban - short/dense/curvy,,,,,,,,,,,False
946196369,60,tertiary,Urban,0.005261257505,5243536,5.321587355,Urban - short/dense/curvy,,,,,,,,,,,False
130101691,80,tertiary,Urban,0.0002468861009,1275185,2.032752905,Urban - short/dense/curvy,,,,,,,,,,,False
539934647,60,tertiary,Urban,0.005153058948,5243536,3.601454817,Urban - short/dense/curvy,,,,,,,,,,,False
1178699392,30,primary,Urban,0.0003966819339,174302,0.1379884746,Urban - short/dense/curvy,,,,,,,,,,,False
56243343,40,tertiary,Urban,2.6e-06,2051899,0.2685540399,Urban - short/dense/curvy,,,,,,,,,,,False
1089074095,30,tertiary,Urban,1.2e-05,887399,0.06431640366,Urban - short/dense/curvy,,,,,,,,,,,False
439830685,40,tertiary,Urban,0.0005447769918,728402,0.4058580348,Urban - short/dense/curvy,,,,,,,,,,,False
380038046,40,tertiary,Urban,0.001037318047,887399,0.2218025593,Urban - short/dense/curvy,,,,,,,,,,,False
4935817,20,tertiary,Urban,0.001352231533,2960048,1.158233036,Urban - short/dense/curvy,,,,,,,,,,,False
135843923,40,tertiary,Urban,0.0067333971,1503456,3.805440892,Urban - short/dense/curvy,,,,,,,,,,,False
1082504224,30,secondary,Rural,0.005670720518,38302,0.3906135053,Rural - short or curved,,,,,,,,,,,False
23977308,40,primary,Rural,0.001538045381,38302,6.486343136,Rural - short or curved,,,,,,,,,,,False
28775973,40,secondary,Urban,0.007331390766,2960048,0.4799150112,Urban - short/dense/curvy,,,,,,,,,,,False
235499038,40,tertiary,Rural,0.0003257778296,205424,0.6914277798,Rural - short or curved,,,,,,,,,,,False
29493102,30,tertiary,Urban,0.005778244609,703141,0.2946818151,Urban - short/dense/curvy,,,,,,,,,,,False
206490656,40,secondary,Rural,0.0003275131081,19471,1.210908858,Rural - short or curved,,,,,,,,,,,False
28533687,40,primary,Urban,0.001878765284,1503456,3.218565962,Urban - short/dense/curvy,,,,,,,,,,,False
846584622,40,tertiary,Urban,0.01239207484,728402,1.370803701,Urban - short/dense/curvy,,,,,,,,,,,False
621411304,50,trunk,Urban,0.00204641865,3325385,6.484858549,Urban - short/dense/curvy,30.0,,,,,,,,,,True
938462472,30,secondary,Urban,0.1149345139,366358,0.05029390758,Urban - short/dense/curvy,,,,,,,,,,,False
98690680,40,tertiary,Urban,0.003878676525,887399,0.2839388006,Urban - short/dense/curvy,,,,,,,,,,,False
