osm_id,existing_maxspeed,highway,classification,rf_rec_10pct,rf_rec_20pct,rf_rec_30pct,rf_rec_40pct,rf_rec_50pct,rf_rec_60pct,rf_rec_70pct,rf_rec_80pct,rf_rec_90pct,rf_rec_100pct
110390569,30,secondary,Urban,,,,,,,,,,
41802911,30,tertiary,Urban,,,,,,,,,,
154520875,40,tertiary,Urban,,,,,,,,,,
1288106036,40,tertiary,Rural,,,,,,,,,,
118535170,40,tertiary,Urban,,,,,,,,,,
43449056,40,tertiary,Urban,,,,,,,,,,
405582505,40,tertiary,Urban,,,,,,,,,,
109037239,40,tertiary,Rural,,,,,,,,,,
30705201,40,tertiary,Urban,,,,,,,,,,
96383808,40,trunk,Urban,,,,,,,,,,
37729738,40,tertiary,Urban,,,,,,,,,,
107030067,60,primary,Urban,,,,,,,,,,
2679610,60,secondary,Urban,,,,,,,,,,
544227906,60,secondary,Urban,,,,,,,,,,
125571011,80,tertiary,Urban,,,,,,,,,,
28422653,30,tertiary,Urban,,,,,,,,,,
319768659,30,secondary,Urban,,,,,,,,,,
4970567,30,tertiary,Urban,,,,,,,,,,
28296729,30,tertiary,Urban,,,,,,,,,,
186255468,60,secondary,Urban,,,,,,,,,,
4794370,30,tertiary,Urban,,,,,,,,,,
259050024,30,tertiary,Urban,,,,,,,,,,
43323900,50,secondary,Urban,,,,,,,,,,
455553996,30,secondary,Urban,,,,,,,,,,
48811097,40,tertiary,Urban,,,,,,,,,,
1291050586,30,tertiary,Urban,,,,,,,,,,
908997429,40,tertiary,Urban,,,,,,,,,,
233576853,80,primary,Urban,,,,,,,,,,
23520512,40,tertiary,Urban,,,,,,,,,,
161964181,40,tertiary,Urban,,,,,,,,,,
27276449,40,secondary,Urban,,,,,,,,,,
921326553,40,tertiary,Urban,,,,,,,,,,
23518792,40,tertiary,Urban,,,,,,,,,,
911226737,40,tertiary,Urban,,,,,,,,,,
28312347,50,secondary,Rural,49.9999996365207,35.00000023969426,,,,,,,,
686558017,40,tertiary,Urban,,,,,,,,,,
206474849,30,tertiary,Rural,,,,,,,,,,
4990014,20,tertiary,Urban,,,,,,,,,,
1017404592,40,secondary,Rural,,,,,,,,,,
94507662,30,tertiary,Urban,,,,,,,,,,
32834724,40,tertiary,Urban,,,,,,,,,,
762983076,40,primary,Urban,,,,,,,,,,
88521252,60,secondary,Urban,,,,,,,,,,
133117359,40,tertiary,Urban,,,,,,,,,,
165193727,30,tertiary,Urban,,,,,,,,,,
28817564,50,primary,Urban,,,,,,,,,,
337410401,40,tertiary,Urban,,,,,,,,,,
170314091,40,tertiary,Urban,,,,,,,,,,
550428767,40,tertiary,Urban,,,,,,,,,,
229319847,30,tertiary,Rural,,,,,,,,,,
23004631,80,primary,Urban,,,,,,,,,,
564504389,80,secondary,Rural,,,,,,,,,,
91661834,20,tertiary,Urban,,,,,,,,,,
239063465,60,secondary,Urban,,,,,,,,,,
530040094,30,tertiary,Urban,,,,,,,,,,
247340762,80,tertiary,Urban,,,,,,,,,,
46872232,40,tertiary,Urban,,,,,,,,,,
124006450,40,tertiary,Urban,,,,,,,,,,
1353194532,40,tertiary,Urban,,,,,,,,,,
28260672,20,tertiary,Urban,,,,,,,,,,
530281038,40,tertiary,Urban,,,,,,,,,,
32687155,40,tertiary,Urban,,,,,,,,,,
836159854,40,tertiary,Urban,,,,,,,,,,
334814826,40,secondary,Rural,,,,,,,,,,
55269214,20,tertiary,Urban,,,,,,,,,,
